======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = True
CUTOUT_SIZE = 8
USE_SILU = False
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0820  |     0.8965  |   0.8844  |               |              2.5750  |
|          |      7  |      1.0664  |     0.9072  |   0.8920  |               |              2.9290  |
|          |      8  |      1.0420  |     0.9111  |   0.9166  |               |              3.2815  |
|          |      9  |      0.9697  |     0.9648  |   0.9311  |               |              3.6061  |
|          |   eval  |      0.9697  |     0.9648  |   0.9311  |       0.9354  |              3.7604  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4805  |     0.6758  |   0.6570  |               |              0.3933  |
|          |      1  |      1.3506  |     0.7529  |   0.6652  |               |              0.7775  |
|          |      2  |      1.2754  |     0.7871  |   0.7910  |               |              1.1627  |
|          |      3  |      1.2236  |     0.8184  |   0.7204  |               |              1.5165  |
|          |      4  |      1.1875  |     0.8398  |   0.8192  |               |              1.8712  |
|          |      5  |      1.1230  |     0.8848  |   0.8370  |               |              2.2255  |
|          |      6  |      1.0928  |     0.8916  |   0.8767  |               |              2.5784  |
|          |      7  |      1.0654  |     0.9043  |   0.8953  |               |              2.9311  |
|          |      8  |      1.0469  |     0.9053  |   0.9169  |               |              3.2830  |
|          |      9  |      1.0059  |     0.9473  |   0.9276  |               |              3.6087  |
|          |   eval  |      1.0059  |     0.9473  |   0.9276  |       0.9360  |              3.7623  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4795  |     0.6709  |   0.6276  |               |              0.3917  |
|          |      1  |      1.3447  |     0.7500  |   0.7716  |               |              0.7782  |
|          |      2  |      1.2734  |     0.7979  |   0.7697  |               |              1.1633  |
|          |      3  |      1.1836  |     0.8418  |   0.8361  |               |              1.5178  |
|          |      4  |      1.1943  |     0.8301  |   0.8352  |               |              1.8703  |
|          |      5  |      1.1514  |     0.8535  |   0.8246  |               |              2.2253  |
|          |      6  |      1.0879  |     0.9033  |   0.8724  |               |              2.5790  |
|          |      7  |      1.0596  |     0.9062  |   0.8995  |               |              2.9324  |
|          |      8  |      1.0293  |     0.9238  |   0.9161  |               |              3.2866  |
|          |      9  |      1.0010  |     0.9443  |   0.9279  |               |              3.6119  |
|          |   eval  |      1.0010  |     0.9443  |   0.9279  |       0.9356  |              3.7655  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.5000  |     0.6709  |   0.6538  |               |              0.3914  |
|          |      1  |      1.3027  |     0.7842  |   0.7592  |               |              0.7762  |
|          |      2  |      1.2412  |     0.8164  |   0.7958  |               |              1.1612  |
|          |      3  |      1.1865  |     0.8457  |   0.6402  |               |              1.5146  |
|          |      4  |      1.1777  |     0.8477  |   0.8436  |               |              1.8675  |
|          |      5  |      1.1484  |     0.8623  |   0.8441  |               |              2.2228  |
|          |      6  |      1.1211  |     0.8770  |   0.8914  |               |              2.5763  |
|          |      7  |      1.0664  |     0.9014  |   0.8904  |               |              2.9299  |
|          |      8  |      1.0283  |     0.9268  |   0.9171  |               |              3.2838  |
|          |      9  |      0.9985  |     0.9424  |   0.9277  |               |              3.6087  |
|          |   eval  |      0.9985  |     0.9424  |   0.9277  |       0.9355  |              3.7623  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.5273  |     0.6582  |   0.6224  |               |              0.3926  |
|          |      1  |      1.3623  |     0.7393  |   0.6294  |               |              0.7768  |
|          |      2  |      1.2637  |     0.7832  |   0.7453  |               |              1.1630  |
|          |      3  |      1.2168  |     0.8291  |   0.8255  |               |              1.5182  |
|          |      4  |      1.1963  |     0.8369  |   0.8440  |               |              1.8710  |
|          |      5  |      1.1582  |     0.8564  |   0.8438  |               |              2.2253  |
|          |      6  |      1.1055  |     0.8750  |   0.8660  |               |              2.5792  |
|          |      7  |      1.0752  |     0.9062  |   0.8857  |               |              2.9346  |
|          |      8  |      1.0410  |     0.9248  |   0.9113  |               |              3.2875  |
|          |      9  |      0.9878  |     0.9502  |   0.9281  |               |              3.6121  |
|          |   eval  |      0.9878  |     0.9502  |   0.9281  |       0.9356  |              3.7658  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4971  |     0.6787  |   0.6318  |               |              0.4774  |
|          |      1  |      1.3320  |     0.7656  |   0.6928  |               |              0.8634  |
|          |      2  |      1.2549  |     0.8125  |   0.8143  |               |              1.2478  |
|          |      3  |      1.2148  |     0.8271  |   0.7956  |               |              1.6015  |
|          |      4  |      1.1748  |     0.8564  |   0.8219  |               |              1.9554  |
|          |      5  |      1.1221  |     0.8828  |   0.8440  |               |              2.3101  |
|          |      6  |      1.0830  |     0.8984  |   0.8800  |               |              2.6644  |
|          |      7  |      1.0762  |     0.8984  |   0.8922  |               |              3.0193  |
|          |      8  |      1.0488  |     0.9150  |   0.9113  |               |              3.3727  |
|          |      9  |      0.9897  |     0.9561  |   0.9264  |               |              3.6972  |
|          |   eval  |      0.9897  |     0.9561  |   0.9264  |       0.9329  |              3.8503  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.5195  |     0.6543  |   0.5559  |               |              0.3914  |
|          |      1  |      1.3330  |     0.7734  |   0.7476  |               |              0.7763  |
|          |      2  |      1.2529  |     0.8018  |   0.8014  |               |              1.1614  |
|          |      3  |      1.2432  |     0.8076  |   0.7033  |               |              1.5158  |
|          |      4  |      1.2012  |     0.8369  |   0.8425  |               |              1.8686  |
|          |      5  |      1.1475  |     0.8643  |   0.8558  |               |              2.2216  |
|          |      6  |      1.0879  |     0.8848  |   0.8687  |               |              2.5767  |
|          |      7  |      1.0928  |     0.8887  |   0.8962  |               |              2.9302  |
|          |      8  |      1.0146  |     0.9424  |   0.9190  |               |              3.2849  |
|          |      9  |      0.9946  |     0.9404  |   0.9288  |               |              3.6109  |
|          |   eval  |      0.9946  |     0.9404  |   0.9288  |       0.9356  |              3.7646  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.5273  |     0.6533  |   0.5679  |               |              0.3917  |
|          |      1  |      1.3291  |     0.7764  |   0.7227  |               |              0.7753  |
|          |      2  |      1.2402  |     0.8086  |   0.7168  |               |              1.1597  |
|          |      3  |      1.1982  |     0.8320  |   0.7727  |               |              1.5150  |
|          |      4  |      1.1602  |     0.8525  |   0.8536  |               |              1.8694  |
|          |      5  |      1.1201  |     0.8770  |   0.8405  |               |              2.2242  |
|          |      6  |      1.1113  |     0.8701  |   0.8809  |               |              2.5785  |
|          |      7  |      1.0781  |     0.9062  |   0.8920  |               |              2.9327  |
|          |      8  |      1.0234  |     0.9297  |   0.9053  |               |              3.2875  |
|          |      9  |      0.9956  |     0.9443  |   0.9294  |               |              3.6131  |
|          |   eval  |      0.9956  |     0.9443  |   0.9294  |       0.9360  |              3.7662  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.5645  |     0.6074  |   0.5768  |               |              0.3917  |
|          |      1  |      1.3398  |     0.7578  |   0.7572  |               |              0.7778  |
|          |      2  |      1.2578  |     0.8018  |   0.7592  |               |              1.1622  |
|          |      3  |      1.2070  |     0.8242  |   0.7934  |               |              1.5173  |
|          |      4  |      1.1689  |     0.8652  |   0.8157  |               |              1.8699  |
|          |      5  |      1.1641  |     0.8496  |   0.8359  |               |              2.2227  |
|          |      6  |      1.0762  |     0.9062  |   0.8944  |               |              2.5764  |
|          |      7  |      1.0625  |     0.9150  |   0.9039  |               |              2.9312  |
|          |      8  |      1.0293  |     0.9287  |   0.9194  |               |              3.2834  |
|          |      9  |      0.9888  |     0.9590  |   0.9291  |               |              3.6093  |
|          |   eval  |      0.9888  |     0.9590  |   0.9291  |       0.9351  |              3.7635  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.5215  |     0.6514  |   0.5929  |               |              0.3916  |
|          |      1  |      1.3740  |     0.7363  |   0.7085  |               |              0.7760  |
|          |      2  |      1.2812  |     0.7822  |   0.7930  |               |              1.1617  |
|          |      3  |      1.2002  |     0.8330  |   0.7407  |               |              1.5164  |
|          |      4  |      1.1768  |     0.8311  |   0.8474  |               |              1.8697  |
|          |      5  |      1.1719  |     0.8467  |   0.8550  |               |              2.2231  |
|          |      6  |      1.0967  |     0.8916  |   0.8757  |               |              2.5776  |
|          |      7  |      1.0781  |     0.9082  |   0.8839  |               |              2.9317  |
|          |      8  |      1.0225  |     0.9463  |   0.9178  |               |              3.2837  |
|          |      9  |      0.9951  |     0.9482  |   0.9287  |               |              3.6099  |
|          |   eval  |      0.9951  |     0.9482  |   0.9287  |       0.9343  |              3.7633  |
------------------------------------------------------------------------------------------------------
Mean: 0.9353    Std: 0.0013
/workspace/ese5060/ese-3060-project/logs/9ae42d42-31e0-4af8-b7aa-0524c7cf8e57/log.pt
