======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = True
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0547  |     0.9189  |   0.8867  |               |              2.6311  |
|          |      7  |      1.0205  |     0.9385  |   0.9076  |               |              2.9800  |
|          |      8  |      0.9741  |     0.9570  |   0.9245  |               |              3.3291  |
|          |      9  |      0.9399  |     0.9805  |   0.9344  |               |              3.6500  |
|          |   eval  |      0.9399  |     0.9805  |   0.9344  |       0.9392  |              3.8027  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4541  |     0.7080  |   0.6170  |               |              0.3873  |
|          |      1  |      1.3008  |     0.7939  |   0.7777  |               |              0.7686  |
|          |      2  |      1.2080  |     0.8418  |   0.7897  |               |              1.1482  |
|          |      3  |      1.1758  |     0.8506  |   0.7302  |               |              1.4978  |
|          |      4  |      1.1602  |     0.8613  |   0.8429  |               |              1.8476  |
|          |      5  |      1.0967  |     0.8848  |   0.8510  |               |              2.1971  |
|          |      6  |      1.0654  |     0.8984  |   0.8914  |               |              2.5456  |
|          |      7  |      1.0225  |     0.9375  |   0.9016  |               |              2.8955  |
|          |      8  |      0.9756  |     0.9600  |   0.9235  |               |              3.2458  |
|          |      9  |      0.9478  |     0.9717  |   0.9324  |               |              3.5670  |
|          |   eval  |      0.9478  |     0.9717  |   0.9324  |       0.9401  |              3.7198  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4902  |     0.6807  |   0.5798  |               |              0.4742  |
|          |      1  |      1.3105  |     0.7734  |   0.7084  |               |              0.8536  |
|          |      2  |      1.1914  |     0.8418  |   0.7878  |               |              1.2335  |
|          |      3  |      1.1855  |     0.8486  |   0.7865  |               |              1.5819  |
|          |      4  |      1.1367  |     0.8691  |   0.7965  |               |              1.9311  |
|          |      5  |      1.0615  |     0.9102  |   0.8400  |               |              2.2810  |
|          |      6  |      1.0332  |     0.9297  |   0.8926  |               |              2.6296  |
|          |      7  |      1.0449  |     0.9199  |   0.9013  |               |              2.9796  |
|          |      8  |      0.9683  |     0.9648  |   0.9190  |               |              3.3290  |
|          |      9  |      0.9473  |     0.9668  |   0.9300  |               |              3.6499  |
|          |   eval  |      0.9473  |     0.9668  |   0.9300  |       0.9391  |              3.8032  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4736  |     0.7021  |   0.6967  |               |              0.3868  |
|          |      1  |      1.3398  |     0.7598  |   0.6553  |               |              0.7660  |
|          |      2  |      1.2061  |     0.8369  |   0.7103  |               |              1.1457  |
|          |      3  |      1.1641  |     0.8711  |   0.8252  |               |              1.4958  |
|          |      4  |      1.1543  |     0.8594  |   0.8534  |               |              1.8446  |
|          |      5  |      1.0986  |     0.8828  |   0.8529  |               |              2.1939  |
